epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.020056818181818186,1.5787788621690537,0.4116666666666667,1.3803612411499024,0.5204
2,0.02011363636363636,1.1618307481129964,0.5867777777777777,1.1167679483413697,0.6162
3,0.020170454545454547,0.9874868333392673,0.6543333333333333,1.0257810244560241,0.6372
4,0.020227272727272733,0.8747420493231879,0.6965111111111111,0.8149176637649536,0.7136
5,0.020284090909090908,0.7931915889528063,0.7270888888888889,0.7467868709564209,0.7376
6,0.020340909090909094,0.7314896129820082,0.7494888888888889,0.7934239984035492,0.7322
7,0.020397727272727272,0.6800741443951924,0.7683111111111111,0.7300736969470978,0.7462
8,0.020454545454545454,0.6353286388291253,0.7851777777777778,0.6535609963655472,0.781
9,0.02051136363636364,0.5971819786071777,0.7979111111111111,0.5737965094327927,0.7926
10,0.02056818181818182,0.5554674208747016,0.8122888888888888,0.6144269940137863,0.787
11,0.020625,0.5216851651297675,0.8217777777777778,0.6380478672981262,0.7846
12,0.020681818181818187,0.49599761204189724,0.8315111111111111,0.5433333378076554,0.8148
13,0.020738636363636362,0.471296174176534,0.8403111111111111,0.6002947337388992,0.7954
14,0.020795454545454548,0.4496320011615753,0.8481111111111111,0.5622610488772393,0.8146
15,0.020852272727272733,0.4309857372919718,0.8527555555555556,0.5042110764622688,0.822
16,0.02090909090909091,0.4115911958906386,0.8618666666666667,0.5306544132947921,0.82
17,0.02096590909090909,0.40036308754815,0.8645555555555555,0.5041770311355591,0.8226
18,0.021022727272727273,0.3851463199827406,0.8687777777777778,0.4194987733781338,0.8562
19,0.021079545454545455,0.37008349203533597,0.8728666666666667,0.461605124014616,0.8386
20,0.021136363636363637,0.35923708765241835,0.8786222222222222,0.4685158967971802,0.8392
21,0.02119318181818182,0.3489352545817693,0.8814222222222222,0.46391477947235105,0.843
22,0.02125,0.34263317284584044,0.8828666666666667,0.489312935256958,0.8358
23,0.021306818181818184,0.33116231914626226,0.8878222222222222,0.5056020720005036,0.8286
24,0.021363636363636362,0.3227188999387953,0.8903777777777778,0.4248511954665184,0.8584
25,0.021420454545454548,0.3122078604910109,0.8934666666666666,0.5129410392522812,0.832
26,0.02147727272727273,0.30980895172754924,0.8944,0.3891434053182602,0.8698
27,0.02153409090909091,0.3032307696289486,0.8958888888888888,0.44050228971242905,0.8562
28,0.02159090909090909,0.29521876877678765,0.9000888888888889,0.5124212141036988,0.834
29,0.021647727272727273,0.29328553947342767,0.9002222222222223,0.4087708648502827,0.8604
30,0.021704545454545456,0.2861941005071004,0.9035333333333333,0.40725277233719825,0.8586
31,0.021761363636363638,0.2812533567428589,0.9033555555555556,0.40913548266887667,0.8634
32,0.02181818181818182,0.2734812296549479,0.9056888888888889,0.42922630337774753,0.857
33,0.021875000000000002,0.27168207982116277,0.9062666666666667,0.4839844304740429,0.8418
34,0.021931818181818184,0.267324184317059,0.9084,0.4637460878610611,0.8442
35,0.021988636363636363,0.2650547274695502,0.9108666666666667,0.4910534408688545,0.846
36,0.02204545454545455,0.2639409705426958,0.9104,0.4123263522088528,0.859
37,0.02210227272727273,0.257688467253579,0.9117333333333333,0.3761718000292778,0.8804
38,0.02215909090909091,0.25315620981322395,0.9144222222222222,0.4686534904956818,0.8478
39,0.02221590909090909,0.25223359226120845,0.9141111111111111,0.4353918458938599,0.8554
40,0.022272727272727274,0.24316766527758704,0.9169111111111111,0.3952979371190071,0.873
41,0.022329545454545456,0.24768419557147556,0.9145111111111112,0.5816758606433868,0.8184
42,0.02238636363636364,0.24084165054427253,0.9172222222222223,0.38221811568289993,0.8712
43,0.02244318181818182,0.23486613845295376,0.9197333333333333,0.3690835137486458,0.881
44,0.022500000000000003,0.23537285803688898,0.9193333333333333,0.5076525796890259,0.8394
45,0.022556818181818185,0.23606920964452954,0.9198222222222222,0.4400205913066864,0.8528
46,0.022613636363636364,0.23416068564785852,0.9190222222222222,0.4096192665576935,0.8654
47,0.02267045454545455,0.2310479362567266,0.9224222222222223,0.4017586098909378,0.8706
48,0.022727272727272724,0.22809023139211868,0.9201777777777778,0.40322600766420363,0.8656
49,0.02278409090909091,0.23220797250800662,0.9212,0.3737748226121068,0.8726
50,0.022840909090909092,0.22399644152323406,0.9232222222222223,0.3966088273987174,0.8718
51,0.022897727272727278,0.2251413332356347,0.9223111111111111,0.3935861062437296,0.8652
52,0.022954545454545457,0.21771762994130453,0.9254888888888889,0.4239211230933666,0.8592
53,0.02301136363636364,0.21907434793313343,0.9252666666666667,0.4580380296766758,0.8552
54,0.023068181818181818,0.21706588678359987,0.9262444444444444,0.42344786381721494,0.86
55,0.023125000000000003,0.22057670488622452,0.9252444444444444,0.3751053291797638,0.8746
56,0.023181818181818185,0.21263767381509144,0.9267555555555556,0.36141280529499054,0.8762
57,0.023238636363636364,0.21508896363576252,0.9261333333333334,0.3838346266001463,0.869
58,0.02329545454545455,0.21508593810134463,0.9266888888888889,0.36653411744236947,0.8804
59,0.023352272727272725,0.21506932170655993,0.9269777777777778,0.4014796857841313,0.8668
60,0.023409090909090907,0.21192401571273803,0.9277333333333333,0.4689312687754631,0.8498
